acu,Achuar-Shiwiar
afr,Afrikaans
agr,Aguaruna
ake,Akawaio
als,Albanian
amh,Amharic
amu,Amuzgo
arb,Arabic
hye,Armenian
djk,Aukan
bsn,Barasana-Eduria
eus,Basque
bul,Bulgarian
cjp,Cabécar
cak,Cakchiquel
cni,Campa (Asháninka)
kbh,Camsá
ceb,Cebuano
cha,Chamorro
chr,Cherokee
chq,Chinantec (Quiotepec)
cmn,Chinese
cmn,Chinese
cop,Coptic
hat,Haitian Creole
hrv,Croatian
ces,Czech
dan,Danish
dik,Dinka
nld,Dutch
eng,English
eng,English
epo,Esperanto
est,Estonian
ewe,Ewe
pes,Farsi (Persian)
fin,Finnish
fra,French
gla,Gaelic (Scottish)
gbi,Galela
deu,German
ell,Greek
guj,Gujarati
heb,Hebrew
hin,Hindi
hun,Hungarian
isl,Icelandic
ind,Indonesian
ita,Italian
jai,Jakalteko
jpn,Japanese
jpn,Japanese
quc,K’iche’
quc,K’iche’
kab,Kabyle
kan,Kannada
kor,Korean
lat,Latin
lav,Latvian
lit,Lithuanian
dop,Lukpa
plt,Malagasy
mal,Malayalam
mam,Mam
glv,Manx
mri,Maori
mar,Marathi
mya,Myanmar (Burmese)
nhg,Nahuatl (Tetelcingo)
nep,Nepali
nor,Norwegian
ojb,Ojibwa
pck,Paite (Chin)
pol,Polish
por,Portuguese
pot,Potawatomi
kek,Q’eqchi’
quw,Quichua
rmn,Romani
ron,Romanian
rus,Russian
srp,Serbian
sna,Shona
jiv,Shuar (Jivaro)
slk,Slovak
slv,Slovene
som,Somali
spa,Spanish
swh,Swahili
swe,Swedish
arc,Syriac
shi,Tachelhit
tgl,Tagalog
tel,Telugu
tha,Thai
tha,Thai
ttq,Tamajaq (Tuareg)
tur,Turkish
ukr,Ukranian
ppk,Uma
usp,Uspanteco
vie,Vietnamese
vie,Vietnamese
wal,Wolaytta
wol,Wolof
xho,Xhosa
dje,Zarma
zul,Zulu
